iter	Passed	Remaining
0	374	373999
1	378	188956
2	382	127155
3	387	96382
4	389	77540
5	392	65036
6	395	56167
7	397	49331
8	399	43975
9	403	39972
10	405	36444
11	407	33531
12	408	31014
13	409	28852
14	410	26976
15	411	25330
16	412	23879
17	414	22593
18	416	21492
19	417	20478
20	419	19535
21	420	18679
22	421	17896
23	422	17181
24	423	16519
25	424	15908
26	426	15385
27	428	14875
28	429	14391
29	431	13943
30	432	13518
31	433	13120
32	434	12745
33	436	12390
34	438	12078
35	439	11764
36	440	11464
37	441	11178
38	442	10907
39	443	10648
40	444	10404
41	446	10173
42	447	9959
43	448	9751
44	449	9548
45	450	9353
46	452	9167
47	453	8989
48	454	8817
49	455	8653
50	456	8497
51	458	8356
52	459	8212
53	460	8070
54	461	7933
55	462	7801
56	463	7674
57	464	7551
58	466	7434
59	469	7354
60	470	7244
61	471	7136
62	472	7032
63	473	6931
64	475	6833
65	476	6739
66	477	6649
67	478	6554
68	479	6474
69	481	6391
70	482	6308
71	483	6227
72	484	6149
73	485	6074
74	486	6000
75	487	5932
76	488	5861
77	490	5799
78	491	5733
79	492	5668
80	493	5604
81	495	5541
82	496	5480
83	497	5424
84	498	5363
85	499	5310
86	500	5256
87	502	5203
88	503	5150
89	504	5099
90	505	5048
91	506	4998
92	507	4950
93	508	4903
94	509	4856
95	511	4818
96	513	4775
97	514	4731
98	515	4688
99	516	4646
100	517	4605
101	518	4561
102	519	4521
103	520	4482
104	522	4454
105	523	4419
106	525	4383
107	526	4352
108	529	4325
109	530	4293
110	531	4260
111	535	4244
112	536	4211
113	538	4182
114	539	4151
115	540	4118
116	541	4087
117	543	4058
118	544	4027
119	545	3999
120	546	3970
121	548	3944
122	548	3912
123	549	3885
124	551	3858
125	552	3831
126	553	3805
127	554	3777
128	556	3756
129	557	3733
130	559	3709
131	560	3683
132	561	3659
133	562	3634
134	563	3610
135	564	3587
136	566	3569
137	567	3545
138	569	3527
139	571	3509
140	572	3488
141	573	3467
142	575	3447
143	577	3432
144	579	3415
145	580	3396
146	581	3376
147	582	3356
148	584	3336
149	585	3317
150	586	3297
151	587	3278
152	589	3261
153	590	3243
154	591	3224
155	592	3205
156	593	3186
157	594	3168
158	595	3150
159	596	3133
160	598	3117
161	599	3101
162	600	3084
163	601	3068
164	603	3051
165	604	3035
166	605	3018
167	606	3002
168	607	2986
169	608	2971
170	610	2957
171	611	2942
172	612	2927
173	613	2911
174	614	2896
175	615	2882
176	616	2867
177	617	2853
178	619	2840
179	620	2828
180	621	2812
181	622	2797
182	623	2783
183	624	2770
184	625	2756
185	626	2743
186	628	2730
187	629	2717
188	630	2705
189	631	2693
190	632	2681
191	634	2669
192	635	2657
193	636	2644
194	637	2633
195	639	2623
196	641	2616
197	643	2605
198	644	2594
199	646	2585
200	647	2573
201	648	2562
202	649	2551
203	651	2541
204	652	2531
205	653	2520
206	655	2509
207	656	2498
208	657	2487
209	658	2476
210	659	2465
211	661	2458
212	662	2449
213	664	2438
214	665	2428
215	666	2418
216	667	2407
217	668	2397
218	669	2387
219	670	2377
220	671	2367
221	672	2356
222	673	2348
223	675	2338
224	676	2328
225	677	2319
226	678	2309
227	679	2300
228	680	2291
229	681	2282
230	682	2273
231	683	2264
232	685	2255
233	686	2246
234	687	2237
235	688	2228
236	689	2219
237	690	2210
238	691	2202
239	692	2194
240	693	2185
241	694	2176
242	696	2168
243	697	2159
244	698	2151
245	699	2143
246	701	2137
247	702	2129
248	703	2120
249	704	2112
250	705	2104
251	706	2096
252	707	2088
253	708	2080
254	709	2073
255	710	2065
256	712	2058
257	713	2051
258	714	2043
259	715	2035
260	716	2028
261	717	2020
262	718	2013
263	719	2006
264	720	1999
265	721	1992
266	723	1984
267	724	1977
268	725	1970
269	726	1963
270	727	1956
271	728	1949
272	729	1942
273	730	1936
274	732	1930
275	733	1923
276	734	1916
277	735	1909
278	736	1903
279	737	1897
280	738	1890
281	739	1883
282	740	1877
283	741	1870
284	743	1864
285	744	1857
286	745	1851
287	746	1844
288	747	1838
289	748	1832
290	749	1826
291	750	1820
292	751	1814
293	752	1807
294	753	1801
295	755	1795
296	756	1789
297	757	1783
298	758	1778
299	759	1772
300	760	1766
301	761	1760
302	762	1754
303	763	1748
304	764	1742
305	765	1737
306	766	1731
307	768	1725
308	769	1720
309	770	1715
310	771	1709
311	772	1704
312	773	1698
313	774	1693
314	776	1687
315	777	1682
316	778	1676
317	779	1671
318	780	1665
319	781	1660
320	782	1655
321	783	1650
322	784	1644
323	785	1639
324	786	1634
325	787	1629
326	789	1623
327	790	1618
328	791	1613
329	792	1608
330	793	1603
331	794	1598
332	795	1593
333	796	1588
334	797	1583
335	798	1578
336	800	1574
337	801	1569
338	802	1564
339	803	1559
340	804	1554
341	805	1550
342	806	1545
343	807	1540
344	808	1535
345	809	1531
346	811	1526
347	812	1522
348	813	1517
349	814	1512
350	815	1508
351	816	1503
352	817	1498
353	818	1494
354	820	1489
355	821	1485
356	822	1481
357	823	1476
358	824	1472
359	825	1467
360	826	1463
361	827	1458
362	828	1454
363	830	1450
364	831	1446
365	832	1441
366	833	1437
367	834	1433
368	835	1428
369	836	1424
370	837	1420
371	838	1416
372	840	1412
373	841	1408
374	842	1404
375	843	1400
376	844	1396
377	845	1391
378	846	1387
379	847	1383
380	848	1379
381	850	1376
382	852	1372
383	853	1369
384	854	1364
385	855	1360
386	856	1356
387	857	1352
388	858	1348
389	859	1344
390	861	1341
391	862	1337
392	863	1333
393	864	1329
394	865	1325
395	866	1321
396	867	1317
397	868	1314
398	869	1310
399	871	1306
400	872	1302
401	873	1299
402	874	1295
403	875	1291
404	876	1288
405	877	1284
406	878	1280
407	880	1276
408	881	1273
409	882	1269
410	883	1265
411	884	1262
412	885	1258
413	886	1255
414	887	1251
415	888	1247
416	890	1244
417	891	1240
418	892	1237
419	893	1233
420	894	1230
421	895	1226
422	896	1223
423	897	1219
424	899	1216
425	900	1213
426	902	1210
427	903	1207
428	904	1204
429	905	1200
430	906	1197
431	907	1193
432	909	1190
433	910	1187
434	911	1183
435	912	1180
436	913	1176
437	914	1173
438	915	1170
439	916	1166
440	917	1163
441	918	1159
442	920	1156
443	921	1153
444	922	1150
445	923	1146
446	924	1143
447	925	1140
448	926	1137
449	927	1134
450	929	1130
451	930	1127
452	931	1124
453	932	1121
454	933	1117
455	934	1114
456	935	1111
457	936	1108
458	937	1105
459	939	1102
460	940	1099
461	941	1096
462	943	1093
463	944	1091
464	945	1088
465	947	1085
466	948	1083
467	950	1080
468	951	1076
469	952	1073
470	953	1070
471	954	1067
472	955	1064
473	956	1061
474	958	1059
475	959	1056
476	961	1053
477	962	1050
478	963	1047
479	964	1044
480	965	1041
481	966	1039
482	968	1036
483	969	1033
484	970	1030
485	971	1027
486	972	1024
487	973	1021
488	975	1018
489	976	1015
490	977	1013
491	979	1011
492	980	1008
493	981	1005
494	982	1002
495	983	999
496	984	996
497	985	993
498	987	990
499	989	989
500	991	987
