iter	Passed	Remaining
0	374	374511
1	376	187908
2	378	125625
3	379	94462
4	382	76075
5	383	63590
6	385	54659
7	386	47951
8	388	42734
9	389	38565
10	391	35160
11	392	32319
12	394	29916
13	396	27910
14	397	26108
15	398	24518
16	399	23120
17	400	21871
18	401	20754
19	402	19744
20	404	18843
21	405	18015
22	406	17259
23	407	16566
24	409	15966
25	410	15385
26	411	14843
27	412	14333
28	413	13861
29	415	13423
30	416	13011
31	417	12626
32	418	12265
33	419	11922
34	420	11598
35	421	11292
36	423	11030
37	424	10758
38	426	10497
39	427	10252
40	428	10016
41	429	9793
42	430	9578
43	431	9373
44	432	9177
45	433	8992
46	434	8816
47	436	8652
48	437	8498
49	438	8340
50	439	8187
51	441	8040
52	442	7900
53	443	7763
54	444	7633
55	445	7506
56	446	7383
57	447	7264
58	448	7150
59	449	7039
60	450	6935
61	452	6844
62	453	6744
63	454	6646
64	455	6557
65	456	6467
66	458	6378
67	459	6292
68	460	6209
69	461	6129
70	462	6050
71	463	5972
72	464	5896
73	466	5840
74	467	5769
75	469	5703
76	470	5638
77	471	5575
78	472	5511
79	473	5448
80	474	5387
81	475	5326
82	476	5263
83	477	5206
84	478	5150
85	480	5106
86	482	5060
87	483	5008
88	484	4958
89	485	4911
90	486	4864
91	490	4836
92	493	4813
93	496	4782
94	497	4739
95	498	4696
96	499	4653
97	500	4610
98	502	4569
99	503	4531
100	504	4492
101	505	4454
102	507	4416
103	508	4379
104	510	4353
105	512	4318
106	513	4283
107	514	4249
108	515	4215
109	516	4181
110	517	4148
111	519	4115
112	520	4084
113	521	4053
114	522	4022
115	525	4002
116	526	3973
117	527	3944
118	528	3916
119	530	3888
120	531	3860
121	532	3831
122	533	3803
123	534	3777
124	535	3751
125	537	3731
126	540	3716
127	541	3691
128	543	3666
129	545	3649
130	546	3625
131	547	3602
132	549	3582
133	551	3561
134	552	3539
135	554	3524
136	556	3504
137	557	3482
138	559	3464
139	560	3444
140	561	3422
141	562	3398
142	563	3378
143	564	3357
144	565	3336
145	566	3315
146	567	3295
147	570	3283
148	571	3264
149	572	3245
150	573	3226
151	574	3207
152	575	3188
153	577	3169
154	578	3151
155	579	3133
156	580	3114
157	581	3097
158	582	3079
159	585	3071
160	585	3053
161	586	3036
162	587	3019
